Feature,Mean_SHAP
crop_yield_lag1,3073.1199
crop_yield_lag2,919.73114
yield_growth_rate,283.31268
nitrogen_use_efficiency,49.54332
phosphorus_per_area,41.558487
nitrogen_per_area,41.202785
emissions_per_ag_land,25.677423
producer_price,18.281733
co2_emissions,11.913552
energy_use_total,8.57119
ag_intensity_index,5.1979685
potassium_per_area,4.5001464
soil_fertility_index,4.492652
area_harvested,4.123119
ag_employment,2.7360919
manure_applied,2.63263
emissions_per_capita,2.5790298
emissions_per_ag_value,2.4158573
livestock_stocks,1.5293332
production_index,1.2591931
climate_stress_index,1.1860465
manure_nitrogen,0.9565863
